Date,Open,High,Low,Close,Volume,Change(%)
2018-03-16,94.68,95.38,93.92,94.6,49081279.0,+0.42(+0.45%)
2018-03-15,93.53,94.58,92.83,94.18,27609948.0,+0.33(+0.35%)
2018-03-14,95.12,95.41,93.5,93.85,32129885.0,-0.56(-0.59%)
2018-03-13,97.0,97.24,93.97,94.41,35384220.0,-2.36(-2.44%)
2018-03-12,96.5,97.21,96.04,96.77,26071908.0,+0.23(+0.24%)
2018-03-09,95.29,96.54,95.0,96.54,36937254.0,+2.11(+2.23%)
2018-03-08,94.27,95.1,93.76,94.43,25603653.0,+0.57(+0.61%)
2018-03-06,94.34,94.49,92.94,93.32,21929581.0,-0.32(-0.34%)
2018-03-05,92.34,94.27,92.26,93.64,23897285.0,+0.59(+0.63%)
2018-03-02,91.58,93.15,90.86,93.05,32830389.0,+0.20(+0.22%)
2018-03-01,93.99,94.52,91.84,92.85,37129576.0,-0.92(-0.98%)
2018-02-28,94.84,95.71,93.63,93.77,30181708.0,-0.43(-0.46%)
2018-02-27,95.74,95.84,94.2,94.2,25864432.0,-1.22(-1.28%)
2018-02-26,94.4,95.45,94.25,95.42,30173191.0,+1.36(+1.45%)
2018-02-23,93.6,94.07,92.37,94.06,26329226.0,+2.33(+2.54%)
2018-02-21,92.98,93.36,91.49,91.49,26695380.0,-1.23(-1.33%)
2018-02-20,91.47,93.06,91.01,92.72,30883387.0,+0.72(+0.78%)
2018-02-14,88.51,90.99,88.41,90.81,34953550.0,+0.98(+1.09%)
2018-02-12,88.74,89.78,87.93,89.13,35711662.0,+0.95(+1.08%)
2018-02-09,86.3,88.93,83.85,88.18,63499065.0,+3.17(+3.73%)
2018-02-08,89.71,89.88,84.76,85.01,55300460.0,-4.60(-5.13%)
2018-02-07,90.49,91.76,89.2,89.61,41091238.0,-1.72(-1.88%)
2018-02-06,86.89,91.47,85.75,91.33,67983293.0,+3.33(+3.78%)
2018-02-05,90.56,93.24,88.08,88.0,50626511.0,-3.78(-4.12%)
2018-02-02,93.64,93.81,91.5,91.78,47867753.0,-2.48(-2.63%)
2018-02-01,94.79,96.07,93.58,94.26,46943442.0,-0.75(-0.79%)
2018-01-31,93.75,95.4,93.51,95.01,48355855.0,+2.27(+2.45%)
2018-01-30,93.3,93.66,92.89,92.74,38576086.0,-1.18(-1.26%)
2018-01-29,95.14,95.45,93.72,93.92,31538886.0,-0.14(-0.15%)
2018-01-26,93.12,94.06,92.58,94.06,29172167.0,+1.73(+1.87%)
2018-01-25,92.46,93.24,91.93,92.33,26379935.0,+0.51(+0.56%)
2018-01-24,92.55,93.43,91.58,91.82,32752560.0,-0.08(-0.09%)
2018-01-23,91.9,92.3,91.54,91.9,23374003.0,+0.29(+0.32%)
2018-01-22,90.0,91.62,89.75,91.61,23585034.0,+1.61(+1.79%)
2018-01-19,90.14,90.61,89.66,90.0,36875013.0,-0.10(-0.11%)
2018-01-18,89.8,90.67,89.75,90.1,24150024.0,-0.04(-0.04%)
2018-01-17,89.08,90.28,88.76,90.14,25617984.0,+1.79(+2.03%)
2018-01-16,90.1,90.79,88.04,88.35,36591541.0,-1.25(-1.40%)
2018-01-11,88.13,88.13,87.24,88.08,17800267.0,+0.26(+0.30%)
2018-01-09,88.65,88.73,87.86,88.22,19473891.0,-0.06(-0.07%)
2018-01-08,88.2,88.57,87.6,88.28,22111070.0,+0.09(+0.10%)
2018-01-05,87.66,88.41,87.6,88.19,23407110.0,+1.08(+1.24%)
2018-01-03,86.06,86.51,85.97,86.35,26057860.0,+0.40(+0.47%)
2018-01-02,86.12,86.31,85.5,85.95,22476305.0,+0.41(+0.48%)
2017-12-28,85.9,85.93,85.55,85.72,10593319.0,+0.01(+0.01%)
2017-12-26,85.31,85.53,85.03,85.4,9887848.0,-0.11(-0.13%)
2017-12-22,85.4,85.63,84.92,85.51,14145841.0,+0.01(+0.01%)
2017-12-21,86.05,86.1,85.4,85.5,17942175.0,-0.02(-0.02%)
2017-12-20,86.2,86.3,84.71,85.52,23667462.0,-0.31(-0.36%)
2017-12-19,86.35,86.35,85.27,85.83,23345607.0,-0.55(-0.64%)
2017-12-18,87.12,87.5,86.23,86.38,22282059.0,-0.47(-0.54%)
2017-12-15,85.26,87.09,84.88,86.85,53936687.0,+2.16(+2.55%)
2017-12-14,85.43,85.87,84.53,84.69,19303492.0,-0.66(-0.77%)
2017-12-13,85.74,85.95,85.17,85.35,21709038.0,-0.23(-0.27%)
2017-12-12,85.31,86.05,85.08,85.58,23921430.0,+0.35(+0.41%)
2017-12-08,83.63,84.58,83.33,84.16,24489106.0,+1.67(+2.02%)
2017-12-07,82.54,82.8,82.0,82.49,23177133.0,-0.29(-0.35%)
2017-12-06,81.55,83.14,81.43,82.78,24889674.0,+1.19(+1.46%)
2017-12-05,81.34,82.68,80.98,81.59,26148628.0,+0.51(+0.63%)
2017-12-04,84.42,84.42,80.7,81.08,39088377.0,-3.18(-3.77%)
2017-12-01,83.6,84.81,83.52,84.26,29532132.0,+0.09(+0.11%)
2017-11-30,83.51,84.52,83.34,84.17,33002972.0,+0.83(+1.00%)
2017-11-29,84.71,84.91,83.18,83.34,27372921.0,-1.54(-1.81%)
2017-11-28,84.07,85.06,84.02,84.88,21924114.0,+1.01(+1.20%)
2017-11-27,83.31,83.98,83.3,83.87,18262082.0,+0.61(+0.73%)
2017-11-24,83.01,83.43,82.78,83.26,7425603.0,+0.15(+0.18%)
2017-11-22,83.83,83.9,83.04,83.11,20553089.0,-0.61(-0.73%)
2017-11-21,82.74,83.84,82.74,83.72,21237138.0,+1.19(+1.44%)
2017-11-20,82.4,82.59,82.25,82.53,16312827.0,+0.13(+0.16%)
2017-11-17,83.12,83.12,82.24,82.4,22078993.0,-0.80(-0.96%)
2017-11-16,83.1,83.42,82.94,83.2,20961055.0,+0.22(+0.27%)
2017-11-15,83.47,83.69,82.69,82.98,19375392.0,-1.07(-1.27%)
2017-11-14,83.5,84.1,82.98,84.05,18767703.0,+0.12(+0.14%)
2017-11-13,83.66,83.94,83.46,83.93,14187732.0,+0.06(+0.07%)
2017-11-10,83.79,84.1,83.23,83.87,19397793.0,-0.22(-0.26%)
2017-11-09,84.11,84.27,82.9,84.09,21175664.0,-0.47(-0.56%)
2017-11-08,84.14,84.61,83.83,84.56,18032104.0,+0.29(+0.34%)
2017-11-07,84.77,84.9,83.93,84.27,17931323.0,-0.20(-0.24%)
2017-11-06,84.2,84.7,84.08,84.47,19857868.0,+0.33(+0.39%)
2017-11-03,84.08,84.54,83.4,84.14,17633543.0,+0.09(+0.11%)
2017-11-02,83.35,84.46,83.12,84.05,23987069.0,+0.87(+1.05%)
2017-11-01,83.68,83.76,82.88,83.18,22303296.0,+0.00(+0.00%)
2017-10-31,84.36,84.36,83.11,83.18,27083914.0,-0.71(-0.85%)
2017-10-30,83.7,84.32,83.11,83.89,31752358.0,+0.08(+0.10%)
2017-10-27,84.37,86.2,83.61,83.81,71066729.0,+5.05(+6.41%)
2017-10-26,79.2,79.42,78.75,78.76,32083357.0,+0.13(+0.17%)
2017-10-25,78.58,79.1,78.01,78.63,20410271.0,-0.23(-0.29%)
2017-10-24,78.9,79.2,78.46,78.86,17515057.0,+0.03(+0.04%)
2017-10-23,78.99,79.34,78.76,78.83,20619041.0,+0.02(+0.03%)
2017-10-20,78.32,78.97,78.22,78.81,22866426.0,+0.90(+1.16%)
2017-10-18,77.67,77.85,77.37,77.61,13300591.0,+0.02(+0.03%)
2017-10-17,77.47,77.62,77.25,77.59,16823613.0,-0.06(-0.08%)
2017-10-16,77.42,77.81,77.42,77.65,12379493.0,+0.16(+0.21%)
2017-10-13,77.59,77.87,77.29,77.49,15335742.0,+0.37(+0.48%)
2017-10-12,76.49,77.29,76.37,77.12,16876524.0,+0.70(+0.92%)
